,# n,Basis,Teórico,%$\epsilon$
0,1.0,25.003210942409407,25.0,0.012843769637626679
1,2.0,75.02360962193261,75.0,0.03147949591014291
2,3.0,125.17668918202776,125.0,0.14135134562220628
3,4.0,176.00781787788168,175.0,0.5758959302181016
4,5.0,228.9984294688637,225.0,1.777079763939418
5,6.0,286.5936182692926,275.0,4.21586118883368
6,7.0,351.3244398816613,325.0,8.099827655895787
