# k,n=0,n=1,n=2,n=3
1.554929697231312247e+00,2.246481718292983487e+01,5.506825923976369808e+01,7.125496758804608533e+01,9.959060093156197979e+01
1.618396215485651268e+00,2.247106056699837850e+01,5.490164332976824824e+01,7.170435320606765117e+01,9.891709208683047905e+01
1.681862733739990290e+00,2.247729383369559386e+01,5.474117221269769828e+01,7.215910254652450817e+01,9.824756094665369233e+01
1.745329251994329312e+00,2.248349178734514808e+01,5.458694049656629232e+01,7.261913737454739248e+01,9.758205664260542278e+01
1.808795770248669221e+00,2.248962927088900798e+01,5.443903465659621332e+01,7.308438674622357212e+01,9.692062358439183356e+01
1.872262288503008243e+00,2.249568126995683670e+01,5.429753410839316530e+01,7.355478570007095129e+01,9.626330248967094860e+01
1.935728806757347265e+00,2.250162301805912790e+01,5.416251206197309642e+01,7.403027412757238324e+01,9.561013127858461758e+01
1.999195325011687174e+00,2.250743010238384301e+01,5.403403620234522720e+01,7.451079576265409798e+01,9.496114588586320338e+01
2.062661843266026196e+00,2.251307856971093813e+01,5.391216923198749100e+01,7.499629723342447107e+01,9.431638104110783161e+01
2.126128361520365218e+00,2.251854503190473622e+01,5.379696930279151701e+01,7.548672711637877342e+01,9.367587107200054675e+01
2.189594879774704239e+00,2.252380677042053847e+01,5.368849035917549628e+01,7.598203492185950836e+01,9.303965079753912448e+01
2.253061398029044149e+00,2.252884183925743500e+01,5.358678240955372729e+01,7.648216991557879396e+01,9.240775660302868744e+01
2.316527916283383171e+00,2.253362916573508912e+01,5.349189173993440249e+01,7.698707963641363961e+01,9.178022783385395655e+01
2.379994434537722192e+00,2.253814864850329869e+01,5.340386108070474336e+01,7.749670788945766731e+01,9.115710872670210563e+01
2.443460952792061214e+00,2.254238125218579469e+01,5.332272973559634721e+01,7.801099184334378833e+01,9.053845124732865202e+01
2.506927471046401124e+00,2.254630909802408212e+01,5.324853368017752331e+01,7.852985757469838290e+01,8.992431949043205464e+01
2.570393989300740145e+00,2.254991554989681646e+01,5.318130563588456283e+01,7.905321283109147146e+01,8.931479686897444026e+01
2.633860507555079167e+00,2.255318529519906789e+01,5.312107512459511582e+01,7.958093457553988515e+01,8.870999852883309700e+01
2.697327025809418188e+00,2.255610441993499293e+01,5.306786850784964571e+01,8.011284613559966772e+01,8.811009416483931034e+01
2.760793544063758098e+00,2.255866047750892989e+01,5.302170901416578630e+01,8.064867200898713406e+01,8.751535318557239407e+01
2.824260062318097120e+00,2.256084255075364098e+01,5.298261675727765407e+01,8.118793973823528631e+01,8.692624281378296303e+01
2.887726580572436141e+00,2.256264130664317591e+01,5.295060874765776049e+01,8.172973926804804989e+01,8.634366870829616403e+01
2.951193098826776051e+00,2.256404904336250539e+01,5.292569889925185578e+01,8.227202463155603596e+01,8.576967326081205556e+01
3.014659617081115073e+00,2.256505972932998816e+01,5.290789803297963800e+01,8.280901074131026007e+01,8.521003879143930249e+01
3.078126135335454094e+00,2.256566903385224521e+01,5.289721387823987442e+01,8.331655008027044573e+01,8.468891084747058073e+01
3.141592653589793116e+00,2.256587434922518298e+01,5.289365107332606186e+01,8.361661156766142255e+01,8.438431933033413657e+01
