# k,n=0,n=1,n=2,n=3
-3.141592653589793116e+00,4.939739682481577354e+00,4.939739691639950969e+00,4.445758342660194273e+01,4.445758416818640057e+01
-3.078126135335453650e+00,4.742170298859521793e+00,5.141341100230934380e+00,4.386084556458572337e+01,4.505835401523872008e+01
-3.014659617081114629e+00,4.548632935827185086e+00,5.346974538167581947e+00,4.326813931741465780e+01,4.566315621751224541e+01
-2.951193098826775163e+00,4.359127598159553862e+00,5.556640000661566603e+00,4.267946505648103539e+01,4.627199040360208926e+01
-2.887726580572436141e+00,4.173654286046985185e+00,5.770337487500684759e+00,4.209482278237884145e+01,4.688485657289351849e+01
-2.824260062318096676e+00,3.992212999678071750e+00,5.988066998469792956e+00,4.151421249569976624e+01,4.750175472476796301e+01
-2.760793544063757654e+00,3.814803739235821833e+00,6.209828533349110558e+00,4.093763419703101647e+01,4.812268485860099076e+01
-2.697327025809418188e+00,3.641426504900223904e+00,6.435622091914135368e+00,4.036508788695435612e+01,4.874764697376598122e+01
-2.633860507555079167e+00,3.472081296845224596e+00,6.665447673936288453e+00,3.979657356604749197e+01,4.937664106963084976e+01
-2.570393989300739701e+00,3.306768115242672668e+00,6.899305279184321016e+00,3.923209123488654626e+01,5.000966714555945458e+01
-2.506927471046400679e+00,3.145486960259157083e+00,7.137194907420365553e+00,3.867164089404204219e+01,5.064672520091330910e+01
-2.443460952792061214e+00,2.988237832057902832e+00,7.379116558405634407e+00,3.811522254407873334e+01,5.128781523504841289e+01
-2.379994434537722192e+00,2.835020730798462285e+00,7.625070231895436201e+00,3.756283618556029325e+01,5.193293724731641703e+01
-2.316527916283382726e+00,2.685835656634505408e+00,7.875055927640018716e+00,3.701448181904422086e+01,5.258209123706607357e+01
-2.253061398029043261e+00,2.540682609717558105e+00,8.129073645388405822e+00,3.647015944508570584e+01,5.323527720364103999e+01
-2.189594879774704239e+00,2.399561590194784877e+00,8.387123384882997357e+00,3.592986906423329430e+01,5.389249514637970151e+01
-2.126128361520365218e+00,2.262472598207869723e+00,8.649205145862639554e+00,3.539361067703367070e+01,5.455374506462091233e+01
-2.062661843266025752e+00,2.129415633895022086e+00,8.915318928063285853e+00,3.486138428402843203e+01,5.521902695769532698e+01
-1.999195325011686508e+00,2.000390697391368544e+00,9.185464731215311929e+00,3.433318988575637576e+01,5.588834082492829225e+01
-1.935728806757347265e+00,1.875397788827582346e+00,9.459642555046253065e+00,3.380902748275082814e+01,5.656168666564661862e+01
-1.872262288503008021e+00,1.754436908329143563e+00,9.737852399278684956e+00,3.328889707554009192e+01,5.723906447916888141e+01
-1.808795770248668777e+00,1.637508056019043812e+00,1.002009426363193967e+01,3.277279866465169533e+01,5.792047426481001793e+01
-1.745329251994329534e+00,1.524611232015399942e+00,1.030636814782094213e+01,3.226073225060655147e+01,5.860591602188262783e+01
-1.681862733739990290e+00,1.415746436431549293e+00,1.059667405155507147e+01,3.175269783392105438e+01,5.929538974969143794e+01
-1.618396215485650824e+00,1.310913669378244606e+00,1.089101197454299452e+01,3.124869541511054649e+01,5.998889544754204906e+01
-1.554929697231311581e+00,1.210112930960890010e+00,1.118938191648591207e+01,3.074872499468229492e+01,6.068643311473323365e+01
-1.491463178976972337e+00,1.113344221282220881e+00,1.149178387708177418e+01,3.025278657314301256e+01,6.138800275056135547e+01
-1.427996660722633093e+00,1.020607540438944083e+00,1.179821785602650230e+01,2.976088015099335493e+01,6.209360435431435121e+01
-1.364530142468293850e+00,9.319028885253065608e-01,1.210868385300905636e+01,2.927300572873020812e+01,6.280323792528134419e+01
-1.301063624213954606e+00,8.472302656311172520e-01,1.242318186771726829e+01,2.878916330684729630e+01,6.351690346274595811e+01
-1.237597105959615362e+00,7.665896718413752753e-01,1.274171189983190899e+01,2.830935288583212639e+01,6.423460096598452651e+01
-1.174130587705276119e+00,6.899811072378226884e-01,1.306427394903143480e+01,2.783357446617137754e+01,6.495633043427315556e+01
-1.110664069450936875e+00,6.174045718988564468e-01,1.339086801499065160e+01,2.736182804834458082e+01,6.568209186688279999e+01
-1.047197551196597409e+00,5.488600658958002754e-01,1.372149409737896697e+01,2.689411363282879464e+01,6.641188526307969653e+01
-9.837310329422583877e-01,4.843475893000714350e-01,1.405615219586171882e+01,2.643043122009713386e+01,6.714571062212630181e+01
-9.202645146879189220e-01,4.238671421746214585e-01,1.439484231010130344e+01,2.597078081061706811e+01,6.788356794328180399e+01
-8.567979964335799004e-01,3.674187245826118220e-01,1.473756443975534580e+01,2.551516240485318221e+01,6.862545722579838525e+01
-7.933314781792404347e-01,3.150023365801201125e-01,1.508431858447831431e+01,2.506357600326741064e+01,6.937137846892964888e+01
-7.298649599249014130e-01,2.666179782203624282e-01,1.543510474391862353e+01,2.461602160631569092e+01,7.012133167191947791e+01
-6.663984416705619473e-01,2.222656495519906850e-01,1.578992291772229173e+01,2.417249921444903649e+01,7.087531683401091698e+01
-6.029319234162229257e-01,1.819453506198754067e-01,1.614877310553079681e+01,2.373300882811542323e+01,7.163333395444023211e+01
