# k,n=0,n=1,n=2,n=3
-4.125323686532049727e-01,5.008517663261094555e+01,6.724951574932016740e+01,7.243872970672335043e+01,1.239315770580686262e+02
-3.490658503988659511e-01,5.006098445299113564e+01,6.762449398948018597e+01,7.201536734692587061e+01,1.247057220041564705e+02
-2.855993321445264854e-01,5.004082430327029130e+01,6.800350424179158892e+01,7.159603699484348738e+01,1.254838989047115803e+02
-2.221328138901874638e-01,5.002469618346940905e+01,6.838654650587118056e+01,7.118073865089857577e+01,1.262661077589506249e+02
-1.586662956358479981e-01,5.001260009360432690e+01,6.877362078133023715e+01,7.076947231551075390e+01,1.270523485660796155e+02
-9.519977738150853241e-02,5.000453603368733724e+01,6.916472706778044710e+01,7.036223798909557559e+01,1.278426213253082437e+02
-3.173325912716951080e-02,5.000050400372696657e+01,6.955986536482457439e+01,6.995903567206325135e+01,1.286369260358307542e+02
3.173325912716995489e-02,5.000050400372714421e+01,6.955986536482468807e+01,6.995903567206322293e+01,1.286369260358306974e+02
9.519977738150897650e-02,5.000453603368777777e+01,6.916472706778043289e+01,7.036223798909479399e+01,1.278426213253073058e+02
1.586662956358484422e-01,5.001260009360441927e+01,6.877362078133016610e+01,7.076947231551093864e+01,1.270523485660793881e+02
2.221328138901874638e-01,5.002469618346970037e+01,6.838654650587112371e+01,7.118073865089871788e+01,1.262661077589502270e+02
2.855993321445269295e-01,5.004082430327024866e+01,6.800350424179131892e+01,7.159603699484387107e+01,1.254838989047122197e+02
3.490658503988659511e-01,5.006098445299058852e+01,6.762449398947971702e+01,7.201536734692551533e+01,1.247057220041564563e+02
4.125323686532054168e-01,5.008517663261066133e+01,6.724951574931951370e+01,7.243872970672295253e+01,1.239315770580685410e+02
4.759988869075444384e-01,5.011340084210564072e+01,6.687856952168836244e+01,7.286612407380556533e+01,1.231614640672314067e+02
5.394654051618839041e-01,5.014565708144663603e+01,6.651165530696269457e+01,7.329755044774212536e+01,1.223953830324259826e+02
6.029319234162229257e-01,5.018194535060151651e+01,6.614877310551207756e+01,7.373300882809661516e+01,1.216333339544204506e+02
6.663984416705623914e-01,5.022226564953380290e+01,6.578992291770364886e+01,7.417249921442974880e+01,1.208753168339908370e+02
7.298649599249014130e-01,5.026661797820204924e+01,6.543510474389994158e+01,7.461602160629692548e+01,1.201213316718993127e+02
7.933314781792408787e-01,5.031500233656230847e+01,6.508431858445935347e+01,7.506357600324923851e+01,1.193713784689094126e+02
8.567979964335799004e-01,5.036741872456418179e+01,6.473756443973654484e+01,7.551516240483448428e+01,1.186254572257786890e+02
9.202645146879193661e-01,5.042386714215612642e+01,6.439484231008246695e+01,7.597078081059811439e+01,1.178835679432616104e+02
9.837310329422583877e-01,5.048434758928210897e+01,6.405615219584286990e+01,7.643043122007823342e+01,1.171457106221066908e+02
1.047197551196598297e+00,5.054886006587764768e+01,6.372149409736026371e+01,7.689411363280989065e+01,1.164118852630594887e+02
1.110664069450937319e+00,5.061740457188099640e+01,6.339086801497234092e+01,7.736182804832643001e+01,1.156820918668633453e+02
1.174130587705276341e+00,5.068998110721964423e+01,6.306427394901329819e+01,7.783357446615296737e+01,1.149563304342527346e+02
1.237597105959615362e+00,5.076658967182338245e+01,6.274171189981324659e+01,7.830935288581370912e+01,1.142346009659643613e+02
1.301063624213955272e+00,5.084723026561264447e+01,6.242318186769833943e+01,7.878916330682909575e+01,1.135169034627257219e+02
1.364530142468294294e+00,5.093190288850716030e+01,6.210868385299077232e+01,7.927300572871131124e+01,1.128032379252617687e+02
1.427996660722633315e+00,5.102060754042057056e+01,6.179821785600762496e+01,7.976088015097434436e+01,1.120936043542942571e+02
1.491463178976972337e+00,5.111334422126390109e+01,6.149178387706326987e+01,8.025278657312476582e+01,1.113880027505411476e+02
1.554929697231312247e+00,5.121011293094282024e+01,6.118938191646731894e+01,8.074872499466316356e+01,1.106864331147134237e+02
1.618396215485651268e+00,5.131091366935986997e+01,6.089101197452397685e+01,8.124869541509183080e+01,1.099888954475217702e+02
1.681862733739990290e+00,5.141574643641338582e+01,6.059667405153651032e+01,8.175269783390280054e+01,1.092953897496717559e+02
1.745329251994329312e+00,5.152461123199701376e+01,6.030636814780199728e+01,8.226073225058759419e+01,1.086059160218627966e+02
1.808795770248669221e+00,5.163750805600079019e+01,6.002009426361331634e+01,8.277279866463315727e+01,1.079204742647897888e+02
1.872262288503008243e+00,5.175443690831142618e+01,5.973785239926012736e+01,8.328889707552156096e+01,1.072390644791488796e+02
1.935728806757347265e+00,5.187539778880945107e+01,5.945964255502770612e+01,8.380902748273229008e+01,1.065616866656267518e+02
1.999195325011687174e+00,5.200039069737347575e+01,5.918546473119688045e+01,8.433318988573793717e+01,1.058883408249091929e+02
2.062661843266026196e+00,5.212941563387703070e+01,5.891531892804498938e+01,8.486138428400971634e+01,1.052190269576756236e+02
2.126128361520365218e+00,5.226247259818998714e+01,5.864920514584422051e+01,8.539361067701518948e+01,1.045537450646009603e+02
2.189594879774704239e+00,5.239956159017679482e+01,5.838712338486465825e+01,8.592986906421489834e+01,1.038924951463599200e+02
2.253061398029044149e+00,5.254068260969944504e+01,5.812907364536958710e+01,8.647015944506713936e+01,1.032352772036203987e+02
2.316527916283383171e+00,5.268583565661637635e+01,5.787505592762143181e+01,8.701448181902581780e+01,1.025820912370464271e+02
2.379994434537722192e+00,5.283502073078072669e+01,5.762507023187715305e+01,8.756283618554174097e+01,1.019329372472966355e+02
2.443460952792061214e+00,5.298823783203972937e+01,5.737911655838697556e+01,8.811522254405987553e+01,1.012878152350286456e+02
2.506927471046401124e+00,5.314548696024100849e+01,5.713719490740174933e+01,8.867164089402304228e+01,1.006467252008936129e+02
2.570393989300740145e+00,5.330676811522447878e+01,5.689930527916554581e+01,8.923209123486763872e+01,1.000096671455397228e+02
2.633860507555079167e+00,5.347208129682667987e+01,5.666544767391727078e+01,8.979657356602920970e+01,9.937664106961102561e+01
2.697327025809418188e+00,5.364142650488217612e+01,5.643562209189548895e+01,9.036508788693630834e+01,9.874764697374629918e+01
2.760793544063758098e+00,5.381480373921773719e+01,5.620982853333028118e+01,9.093763419701191708e+01,9.812268485858061240e+01
2.824260062318097120e+00,5.399221299965996934e+01,5.598806699845074064e+01,9.151421249568100791e+01,9.750175472474801097e+01
2.887726580572436141e+00,5.417365428602911237e+01,5.577033748748223729e+01,9.209482278236002628e+01,9.688485657287354513e+01
2.951193098826776051e+00,5.435912759814102913e+01,5.555664000064205510e+01,9.267946505646260391e+01,9.627199040358183879e+01
3.014659617081115073e+00,5.454863293580936556e+01,5.534697453814901991e+01,9.326813931739606289e+01,9.566315621749244258e+01
3.078126135335454094e+00,5.474217029884120933e+01,5.514134110021230128e+01,9.386084556456708583e+01,9.505835401521920858e+01
3.141592653589793116e+00,5.493973966185235724e+01,5.493973971223257280e+01,9.445758324123242744e+01,9.445758435351756077e+01
