# k,n=0,n=1,n=2,n=3
-3.141592653589793116e+00,5.827743676651552462e+00,1.932444412667110001e+01,5.146247906401355010e+01,6.615186122649841138e+01
-3.078126135335453650e+00,5.826822227631226703e+00,1.932773157860411573e+01,5.144449285722804177e+01,6.617519257878075223e+01
-3.014659617081114629e+00,5.824065133890174550e+00,1.933758044342934213e+01,5.139091295152999805e+01,6.624481297539431068e+01
-2.951193098826775163e+00,5.819488349353012069e+00,1.935396241798476424e+01,5.130278270328417278e+01,6.635968914268438823e+01
-2.887726580572436141e+00,5.813118265141699936e+00,1.937683046013465926e+01,5.118174982005012197e+01,6.651819022140813331e+01
-2.824260062318096676e+00,5.804991419949468323e+00,1.940611897385019091e+01,5.102994680148533746e+01,6.671820739257086075e+01
-2.760793544063757654e+00,5.795154104433469122e+00,1.944174405788972493e+01,5.084985235523748059e+01,6.695729255440940619e+01
-2.697327025809418188e+00,5.783661868895295655e+00,1.948360380820096438e+01,5.064415252412030810e+01,6.723279731360599953e+01
-2.633860507555079167e+00,5.770578945570710161e+00,1.953157866206470672e+01,5.041561609370117480e+01,6.754199772073255303e+01
-2.570393989300739701e+00,5.755977598291619479e+00,1.958553177041314797e+01,5.016699297701438809e+01,6.788219605191022765e+01
-2.506927471046400679e+00,5.739937413310276959e+00,1.964530938366791091e+01,4.990093864864460471e+01,6.825079656269272732e+01
-2.443460952792061214e+00,5.722544545602218591e+00,1.971074123594295813e+01,4.961996348873046969e+01,6.864535635121578139e+01
-2.379994434537722192e+00,5.703890934947664526e+00,1.978164091248630996e+01,4.932640342078651940e+01,6.906361494348851693e+01
-2.316527916283382726e+00,5.684073505699389628e+00,1.985780618579836698e+01,4.902240724408538597e+01,6.950350719572588787e+01
-2.253061398029043261e+00,5.663193363310971229e+00,1.993901930692308611e+01,4.870993610129541196e+01,6.996316406730096560e+01
-2.189594879774704239e+00,5.641354999596268627e+00,2.002504723988482738e+01,4.839077112180384432e+01,7.044090521631626700e+01
-2.126128361520365218e+00,5.618665517311963953e+00,2.011564182916057675e+01,4.806652609301493584e+01,7.093522655555365475e+01
-2.062661843266025752e+00,5.595233883193428071e+00,2.021053989228216707e+01,4.773866282147566409e+01,7.144478509404375188e+01
-1.999195325011686508e+00,5.571170216916461193e+00,2.030946323224027594e+01,4.740850754609240170e+01,7.196838268512968284e+01
-1.935728806757347265e+00,5.546585121935610374e+00,2.041211856722529561e+01,4.707726732088173094e+01,7.250494974180831775e+01
-1.872262288503008021e+00,5.521589062550276594e+00,2.051819737838190605e+01,4.674604569791539888e+01,7.305352956044288248e+01
-1.808795770248668777e+00,5.496291790120137577e+00,2.062737567974409814e+01,4.641585733334936492e+01,7.361326359356269222e+01
-1.745329251994329534e+00,5.470801820027181961e+00,2.073931371833593928e+01,4.608764133638705118e+01,7.418337780475918919e+01
-1.681862733739990290e+00,5.445225959789207870e+00,2.085365561665835443e+01,4.576227330731867937e+01,7.476317009872887809e+01
-1.618396215485650824e+00,5.419668887759119258e+00,2.097002897446575176e+01,4.544057608625445255e+01,7.535199872602726145e+01
-1.554929697231311581e+00,5.394232780957699980e+00,2.108804445192594557e+01,4.512332927480583322e+01,7.594927149800388122e+01
-1.491463178976972337e+00,5.369016989972037912e+00,2.120729536204748555e+01,4.481127761006859345e+01,7.655443559929901198e+01
-1.427996660722633093e+00,5.344117758255203299e+00,2.132735730660105133e+01,4.450513827209302065e+01,7.716696774217351162e+01
