# k,n=0,n=1,n=2,n=3
-1.618396215485650824e+00,9.884619650579896444e+00,3.616062315329572385e+01,6.222385464438850988e+01,8.732892602067870769e+01
-1.554929697231311581e+00,9.877565625203647670e+00,3.624039154158381848e+01,6.187800157504577214e+01,8.797719313887390058e+01
-1.491463178976972337e+00,9.870530386229823705e+00,3.632101823290427234e+01,6.154193639990809572e+01,8.862952887396212986e+01
-1.427996660722633093e+00,9.863542107250866664e+00,3.640220084287668811e+01,6.121597337646644377e+01,8.928577402158366283e+01
-1.364530142468293850e+00,9.856628636384039410e+00,3.648362387058647727e+01,6.090043627782057456e+01,8.994575237180941940e+01
-1.301063624213954606e+00,9.849817389596026374e+00,3.656495916984545147e+01,6.059565853456260953e+01,9.060926544388773607e+01
-1.237597105959615362e+00,9.843135247775231633e+00,3.664586661065984430e+01,6.030198308817766417e+01,9.127608595230637434e+01
-1.174130587705276119e+00,9.836608457848489806e+00,3.672599496035590505e+01,6.001976194675680176e+01,9.194594951226642365e+01
-1.110664069450936875e+00,9.830262538148847540e+00,3.680498301420081475e+01,5.974935542845064873e+01,9.261854390488065292e+01
-1.047197551196597409e+00,9.824122188225814511e+00,3.688246100448809983e+01,5.949113107530385491e+01,9.329349494176514668e+01
-9.837310329422583877e-01,9.818211203264262110e+00,3.695805231473226371e+01,5.924546221973758975e+01,9.397034754576630178e+01
-9.202645146879189220e-01,9.812552393193552547e+00,3.703137552141279087e+01,5.901272618817784377e+01,9.464854001973844788e+01
-8.567979964335799004e-01,9.807167506620471542e+00,3.710204677934583373e+01,5.879330213115544268e+01,9.532736847808534719e+01
-7.933314781792404347e-01,9.802077159597441636e+00,3.716968255801396737e+01,5.858756847683187630e+01,9.600593685040975345e+01
-7.298649599249014130e-01,9.797300769292540679e+00,3.723390272489351815e+01,5.839590001528750918e+01,9.668308537233382083e+01
-6.663984416705619473e-01,9.792856492566455628e+00,3.729433395808786145e+01,5.821866463403077319e+01,9.735728645031785788e+01
-6.029319234162229257e-01,9.788761169451156263e+00,3.735061345460653826e+01,5.805621974054203349e+01,9.802649021661996187e+01
-5.394654051618834600e-01,9.785030271529004509e+00,3.740239288306468524e+01,5.790890842490234292e+01,9.868789134840979216e+01
-4.759988869075444384e-01,9.781677855165277435e+00,3.744934251115369506e+01,5.777705543358083418e+01,9.933757140171348965e+01
-4.125323686532049727e-01,9.778716519583511513e+00,3.749115542021488778e+01,5.766096304326546118e+01,9.996994433112676859e+01
-3.490658503988659511e-01,9.776157369724423063e+00,3.752755170291393227e+01,5.756090693970318739e+01,1.005768977047814303e+02
-2.855993321445264854e-01,9.774009983875597385e+00,3.755828252694979597e+01,5.747713221942846928e+01,1.011464973622929620e+02
-2.221328138901874638e-01,9.772282386004055965e+00,3.758313393946304615e+01,5.740984964034692695e+01,1.016611952275112145e+02
-1.586662956358479981e-01,9.770981022766290991e+00,3.760193028467416099e+01,5.735923224919341123e+01,1.020959196999017848e+02
-9.519977738150853241e-02,9.770110745162838839e+00,3.761453711227431995e+01,5.732541250874168526e+01,1.024177664957518346e+02
-3.173325912716951080e-02,9.769674794815324859e+00,3.762086346662228209e+01,5.730848003504198118e+01,1.025911401455508098e+02
3.173325912716995489e-02,9.769674794815520258e+00,3.762086346662241709e+01,5.730848003504166854e+01,1.025911401455507672e+02
9.519977738150897650e-02,9.770110745162403632e+00,3.761453711227461838e+01,5.732541250874044181e+01,1.024177664957507972e+02
1.586662956358484422e-01,9.770981022765425905e+00,3.760193028467395493e+01,5.735923224919360308e+01,1.020959196999014296e+02
2.221328138901874638e-01,9.772282386004162547e+00,3.758313393946281877e+01,5.740984964034679905e+01,1.016611952275106887e+02
2.855993321445269295e-01,9.774009983875938445e+00,3.755828252694972491e+01,5.747713221942893824e+01,1.011464973622935446e+02
3.490658503988659511e-01,9.776157369724842283e+00,3.752755170291362674e+01,5.756090693970319450e+01,1.005768977047812882e+02
4.125323686532054168e-01,9.778716519583303679e+00,3.749115542021431224e+01,5.766096304326482880e+01,9.996994433112696754e+01
4.759988869075444384e-01,9.781677855165753499e+00,3.744934251115340373e+01,5.777705543358045759e+01,9.933757140171358913e+01
5.394654051618839041e-01,9.785030271529354451e+00,3.740239288306488419e+01,5.790890842490195922e+01,9.868789134840963584e+01
6.029319234162229257e-01,9.788761169451174027e+00,3.735061345460670879e+01,5.805621974054163559e+01,9.802649021661930817e+01
6.663984416705623914e-01,9.792856492565011450e+00,3.729433395808791118e+01,5.821866463403074476e+01,9.735728645031703365e+01
7.298649599249014130e-01,9.797300769292620615e+00,3.723390272489346842e+01,5.839590001528763707e+01,9.668308537233379241e+01
7.933314781792408787e-01,9.802077159598781009e+00,3.716968255801355525e+01,5.858756847683131497e+01,9.600593685040946923e+01
8.567979964335799004e-01,9.807167506619864028e+00,3.710204677934581241e+01,5.879330213115582637e+01,9.532736847808574510e+01
9.202645146879193661e-01,9.812552393192568445e+00,3.703137552141213007e+01,5.901272618817764481e+01,9.464854001973812103e+01
